UW,CH,IFA,SLA,SH,PWPR,RFN,FS
18.74540119,21.81383683,38.24995777,41.90722842,18.45104185,0.847236578,3,2.613691703
24.50714306,19.98104433,24.61279989,32.96462268,9.266799882,0.494517044,2,2.241626347
22.31993942,12.92692606,28.66599236,58.22492624,10.68616512,0.195465611,0,1.568243617
20.98658484,32.32700015,36.58201592,20.94892255,13.13020077,0.736641787,3,3
16.5601864,26.44808722,32.05223361,39.3928208,14.16440005,0.418678136,1,3
16.5599452,43.95654465,38.46427597,45.01050075,15.90178141,0.594627483,2,3
15.58083612,6.444931122,44.03019753,51.27822447,16.4957013,0.10726529,2,1.545751473
23.66176146,33.97405674,22.91366719,30.34855152,25.50723555,0.63158399,0,3
21.01115012,39.33269953,37.73919291,44.34609538,27.93079359,0.373550489,1,3
22.08072578,39.17689561,25.75860389,25.16007357,18.89956437,0.33418975,1,3
15.20584494,44.87332852,30.36191819,31.77380462,45.8283389,0.979915579,2,3
24.69909852,37.80651843,20.82156814,54.78135656,29.89128755,0.432430643,1,3
23.32442641,46.75145277,23.39768456,57.49538047,40.43646176,0.678038378,0,3
17.12339111,19.96954699,27.99443223,45.94086735,46.59070246,0.627727536,3,2.156829999
16.81824967,27.64442375,28.54964513,28.71759454,12.34108016,0.104303551,1,3
16.8340451,5.633584848,42.48963041,51.0028895,24.25435177,0.747927537,0,1.095686835
18.04242243,5.313091429,38.54532273,11.29335409,24.49446808,0.323159203,2,1.541640091
20.24756432,15.80569792,44.3045742,15.13729553,20.95125127,0.798939549,3,2.506546202
19.31945019,9.536323871,34.97678776,43.06868682,5.400763995,0.607640783,0,1.385018053
17.9122914,16.70951156,26.0428433,24.56242876,41.71874485,0.31709149,3,2.1348759
21.11852895,12.96694825,28.19137575,57.56931092,10.02016947,0.35629296,3,1.482567761
16.39493861,6.283401118,27.99589808,31.8030306,49.79662691,0.73150737,2,0.877752724
17.92144649,45.91868659,28.16235819,31.46824102,39.78313214,0.550059315,2,3
18.66361843,5.370040913,36.82410433,43.90397551,31.10045079,0.668351041,0,0.99125896
19.56069984,38.1236965,33.2701982,48.37842812,11.9572888,0.158318321,0,3
22.85175961,11.84665491,29.63560445,33.77793691,28.19268371,0.786976672,0,1.441251268
16.99673782,46.05033299,23.72724422,20.70004509,16.74989334,0.320391319,3,3
20.14234438,45.17581728,20.55347907,48.66543214,16.3545136,0.619861267,2,3
20.92414569,34.42555159,25.47086694,26.01756374,42.32881622,0.114679825,3,3
15.46450413,35.25053674,22.6867851,18.75553846,22.12899908,0.321420241,1,3
21.07544852,5.240261389,39.63612577,41.5820095,25.28257115,0.648867293,2,1.10497659
16.70524124,49.31922048,22.81244895,14.52268335,42.9334132,0.274206132,0,3
15.65051593,44.50246716,38.10570593,58.56763375,8.950578157,0.880312197,3,3
24.48885537,45.27978016,29.64146724,41.61986322,31.75780339,0.661228399,2,3
24.65632033,34.66600417,21.83445974,59.29477605,31.01970566,0.870278393,0,3
23.08397348,20.51541179,40.31825124,26.94467117,24.13465562,0.395390702,0,2.928340824
18.04613769,45.21418921,34.49076426,58.56025806,42.33985886,0.033985143,1,3
15.97672114,18.11826177,25.89403782,17.27811239,47.43005276,0.576139963,2,2.214109665
21.84233027,30.32201945,42.36702936,12.03473862,25.94011379,0.339193503,0,3
19.40152494,9.487893755,21.13145785,11.64920302,25.52661729,0.448188376,3,1.312585086
16.22038235,46.48800336,25.0454902,33.24351853,27.59286784,0.681110214,2,3
19.9517691,11.3346706,38.8011732,14.15020987,37.54058139,0.700664667,1,1.935005068
15.34388521,15.12035626,37.73444826,35.60839421,35.06271308,0.027556415,0,2.399988418
24.09320402,30.11603712,27.23179234,26.37502518,15.02757271,0.769302673,0,3
17.58779982,39.38418501,21.55062188,26.78144962,7.875290687,0.493518915,2,3
21.62522284,32.87080877,41.45195181,41.78044983,47.71643584,0.556698773,2,3
18.11711076,15.44602608,27.84244095,18.15490031,16.74813919,0.297994185,2,2.142137877
20.20068021,5.042436914,24.89283537,48.32766852,33.73685081,0.420833786,1,0.640311292
20.46710279,39.07177611,32.90154556,39.10154599,42.27971012,0.710375134,3,3
16.84854456,49.33432967,42.75567998,55.74723144,18.51245377,0.776713803,1,3
24.69584628,41.44609041,21.08866445,28.24203269,33.59450361,0.387106181,0,3
22.75132823,25.70929782,39.1451022,59.1357496,9.855510852,0.691117533,2,2.938850259
24.39498942,45.66952676,34.3118307,38.79138234,48.646915,0.258043502,3,3
23.9482735,23.44314529,30.63622791,58.67009781,7.617122377,0.832022665,1,2.362809815
20.97899979,28.62203379,38.6020111,11.3530327,24.71786032,0.609814239,2,3
24.21874235,26.47083953,44.14561061,46.39881612,29.15686589,0.775186516,2,3
15.88492502,25.14307427,25.73015528,50.83107621,40.57168004,0.477154852,1,2.625091081
16.95982862,39.88358462,23.59118413,12.65866433,10.45078327,0.229109285,3,3
15.45227289,28.70460083,42.82204363,38.9484832,24.83635882,0.429231113,2,3
18.25330331,19.25227049,36.72382694,50.09711468,18.48702063,0.381485394,0,2.45764077
18.8867729,16.61711754,30.94965054,38.05193626,19.04048221,0.332716543,0,2.146489138
17.71349032,6.698629264,34.33148926,13.19067952,40.04545622,0.212173748,2,1.576252233
23.28737509,31.24378228,38.64034763,44.67236204,5.245742526,0.759167142,1,3
18.56753327,15.34826369,39.32579747,13.02984573,38.70876386,0.086351661,3,2.672211997
17.8093451,11.66602649,42.99735452,50.87344475,41.46792936,0.88756093,2,1.647332887
20.42696083,34.42234837,30.67106972,12.15170917,45.56130097,0.175024723,0,3
16.40924225,35.6544166,27.33527275,16.86986905,33.20968115,0.979873652,3,3
23.02196981,38.84697015,35.99160667,23.75537953,20.00548977,0.988468048,3,3
15.74550644,27.66096034,30.39319748,41.66823961,24.22556296,0.398387041,2,3
24.86886937,45.23245723,34.86496135,58.81795498,48.6381237,0.987821073,1,3
22.72244769,47.1354239,30.49964496,15.89114263,44.65340719,0.869068517,1,3
16.98715682,41.33169229,23.82489467,17.13538346,25.85866591,0.082430277,1,3
15.05522117,33.60170669,31.73566879,28.44351984,47.43783532,0.947328564,3,3
23.15461428,18.66744291,37.27294555,51.81095689,42.03296939,0.042514386,1,2.569809048
22.06857344,49.23252147,39.98209519,33.36154764,45.54904377,0.181914294,0,3
22.29007168,17.33612752,32.33315692,26.08053001,35.73397556,0.584595541,2,2.258281579
22.71270347,14.11956149,24.13094726,38.06019161,43.59443196,0.080737178,0,1.795350552
15.74044652,24.89693512,30.36719274,23.02615987,45.12947636,0.161727757,1,3
18.58465729,7.557825682,39.65734822,30.05799536,9.140746304,0.953491787,2,1.300368328
16.1586906,49.03225091,30.32148177,26.63025746,48.43476395,0.994687885,2,3
23.63103426,31.47951004,37.41326984,50.20705112,20.01258944,0.798136542,1,3
21.23298127,30.06284412,32.68034204,56.21278632,24.79547793,0.515209391,2,3
18.30898025,34.5108326,26.03057813,47.97860961,40.63566916,0.900300936,1,3
15.6355835,27.36606415,39.9037627,31.9541788,34.92033375,0.111898771,2,3
18.10982322,6.442858269,22.10533635,35.21674887,45.18769606,0.942891869,1,0.557516949
18.25183322,32.554008,33.12225707,16.2536847,23.02581878,0.351552927,0,3
22.29606178,37.22782446,25.22227586,47.34323556,21.79796737,0.861489391,2,3
21.37557471,23.75370773,21.67664071,39.82378397,6.425998229,0.668373406,3,2.365500921
23.87212743,39.07830074,32.57334843,55.12199981,25.82264195,0.960274304,0,3
19.72214925,15.21505847,32.4890539,20.03055718,37.58318466,0.864677948,3,1.971829765
16.19594246,14.9574466,37.67252254,47.9863061,18.55304229,0.887897814,0,1.827683443
22.13244787,12.26376445,38.61876733,44.23358309,25.82269312,0.631754356,0,1.75545568
22.60785049,21.73976419,38.19478722,23.29227669,14.87289958,0.833158531,0,2.797633961
